Unnamed: 0,qasrl_id,sentence,tokens,Unnamed: 0.1,len
33.0,TAC2011~!~D1141-B-DFGH~!~13,Soil erosion and lowered water tables affect up to 40% of China a three year investigation has revealed.  ,Soil erosion and lowered water tables affect up to 40 % of China a three year investigation has revealed .  ,,
34.0,DUC2006~!~D0630~!~10,"To meet online competition, the ABA opened Book Sense and Contentville, online selling and commentary sites serving as hubs for individual stores.","To meet online competition , the ABA opened Book Sense and Contentville , online selling and commentary sites serving as hubs for individual stores .",,
35.0,DUC2007~!~D0729~!~APW19980714.1164~!~15,The reward for information leading to his capture has grown to dlrs 1 million.,The reward for information leading to his capture has grown to dlrs 1 million .,,
36.0,TAC2011~!~D1144-A-CDGH~!~12,Each of the 24 toys recalled for safety reasons in the US so far this year were made in China.  ,Each of the 24 toys recalled for safety reasons in the US so far this year were made in China .  ,,
37.0,DUC2005~!~d426a2~!~LA022289-0117~!~272,"Five of the department's dogs are Belgian malinois imported from the Netherlands, where they are trained by Dutch police before being sent to Santa Ana.","Five of the department 's dogs are Belgian malinois imported from the Netherlands , where they are trained by Dutch police before being sent to Santa Ana .",,
38.0,DUC2005~!~d633g2~!~FT943-11336~!~651,"Fighting the separatist tendencies of the other parties has always been a prime source of Tory ideology and morale, from Gladstone's Irish Home Rule plans of the 1880s to successive schemes for Scottish and Welsh devolution supported by Liberals, Labour and Nationalists in recent decades.","Fighting the separatist tendencies of the other parties has always been a prime source of Tory ideology and morale , from Gladstone 's Irish Home Rule plans of the 1880s to successive schemes for Scottish and Welsh devolution supported by Liberals , Labour and Nationalists in recent decades .",,
39.0,DUC2005~!~108.D400.M.250.B.7~!~64,"Brazilian programs to reduce deforestation and CO2 emission, and promote sustainable development include ""extractive reserves"" which globally market renewable ""rain-forest chic"" products (replenishable trees, produce, nuts, latex, pharmaceutical plants); discontinuing subsidies to clear-cutting for unsustainable ranches which dislocated forest people; tree improvement; pesticide controls; minimizing roads and mineral mining impacts; increasing fish pond farming; and improving law enforcement.","Brazilian programs to reduce deforestation and CO2 emission , and promote sustainable development include "" extractive reserves "" which globally market renewable "" rain - forest chic "" products ( replenishable trees , produce , nuts , latex , pharmaceutical plants ) ; discontinuing subsidies to clear - cutting for unsustainable ranches which dislocated forest people ; tree improvement ; pesticide controls ; minimizing roads and mineral mining impacts ; increasing fish pond farming ; and improving law enforcement .",,
40.0,TAC2011~!~D1140-B-BDGH~!~15,"Germany pledged 200,000 million euros in aid through the World Food Program.  ","Germany pledged 200,000 million euros in aid through the World Food Program .  ",,
41.0,DUC2006~!~D0624f~!~XIE19990302.0306~!~357,"After the Macpherson report, the government promised to broaden anti-discrimination laws and make immediate changes in policing methods.","After the Macpherson report , the government promised to broaden anti - discrimination laws and make immediate changes in policing methods .",,
42.0,TAC2011~!~D1107-A-BCEF~!~22,"China has 9 ministries that independently implement food safety rules that are at times overlapping, confusing, and contradictory.  ","China has 9 ministries that independently implement food safety rules that are at times overlapping , confusing , and contradictory .  ",,
43.0,DUC2007~!~D0718~!~NYT19990611.0360~!~308,"They opened the latest in their 50-50 joint-venture Starbucks Coffee stores and Johnson said there will be more in Seattle, along with one of Johnson's multiplex movie theaters.","They opened the latest in their 50 - 50 joint - venture Starbucks Coffee stores and Johnson said there will be more in Seattle , along with one of Johnson 's multiplex movie theaters .",,
44.0,TAC2008~!~D0803-A-ABDF~!~18,In August 2005 the government ordered all officials with coalmine investments to withdraw their stakes.,In August 2005 the government ordered all officials with coalmine investments to withdraw their stakes .,,
45.0,TAC2008~!~D0842-B~!~AFP_ENG_20060126.0439~!~63,"The project, which seeks to address recent disruptions in Russian gas supplies to Europe, calls for building a liquiefied petroleum gas (LPG) terminal at an Adriatic port and transporting the gas to central Europe.","The project , which seeks to address recent disruptions in Russian gas supplies to Europe , calls for building a liquiefied petroleum gas ( LPG ) terminal at an Adriatic port and transporting the gas to central Europe .",,
46.0,TAC2011~!~D1107-A-BCEF~!~23,"A Chinese lawmaker has appealed to set up a trans-ministry agency to carry out the responsibilities which are undertaken by several government departments, for food safety.","A Chinese lawmaker has appealed to set up a trans - ministry agency to carry out the responsibilities which are undertaken by several government departments , for food safety .",,
47.0,DUC2005~!~119.D683.M.250.J.7~!~101,"In June 1992 Czech politicians who wanted a rapid market reform and integration into the rest of Europe were elected, while the elected Slovaks were members of the nationalist-populist and separatist parties and were calling for greater autonomy.","In June 1992 Czech politicians who wanted a rapid market reform and integration into the rest of Europe were elected , while the elected Slovaks were members of the nationalist - populist and separatist parties and were calling for greater autonomy .",,
48.0,TAC2011~!~D1110-A-BDEH~!~4,"It is the worst to strike China since 1976 which claimed 242,000 lives.","It is the worst to strike China since 1976 which claimed 242,000 lives .",,
49.0,DUC2006~!~D0617~!~11,"Both engines had been switched off from the cockpit, something experienced pilots would not do.","Both engines had been switched off from the cockpit , something experienced pilots would not do .",,
50.0,DUC2007~!~D0727-AFGH~!~6,"Marianne requested and a judge granted a videotaped deposition of a 33-year-old Congressional aide, Callista Bisek, with whom Newt was alleged to have had an affair.","Marianne requested and a judge granted a videotaped deposition of a 33-year - old Congressional aide , Callista Bisek , with whom Newt was alleged to have had an affair .",,
51.0,TAC2011~!~D1138-A-ABGH~!~24,"More organs could become available through South Carolina's plan to shorten prisoners' sentences in exchange for organ donations, mismatched blood type organ transplants for infants, and promotion of brain-death idea for organ donation in China.","More organs could become available through South Carolina 's plan to shorten prisoners ' sentences in exchange for organ donations , mismatched blood type organ transplants for infants , and promotion of brain - death idea for organ donation in China .",,
52.0,DUC2005~!~107.D393.M.250.F.3~!~89,"Husbands kill wives, e.g. cancer victim Virginia Harper was suffocated and Emily Gilbert, Alzheimer's sufferer, was shot.","Husbands kill wives , e.g. cancer victim Virginia Harper was suffocated and Emily Gilbert , Alzheimer 's sufferer , was shot .",,
53.0,TAC2011~!~D1116-B-CEFG~!~5,They also searched eBay records and found a sale matching Cho's gun and ammunition and issued a search warrant for Cho's eBay account.,They also searched eBay records and found a sale matching Cho 's gun and ammunition and issued a search warrant for Cho 's eBay account .,,
54.0,TAC2011~!~D1125-B-BCEG~!~8,"More than 500,000 people commented.  ","More than 500,000 people commented .  ",,
55.0,DUC2005~!~d366i~!~LA070189-0037~!~1071,"Cyanide was also dumped into the Los Angeles sewer system at the All-American Plating Corp. in the 7100 block of Vineland Avenue, while open and unlabeled tanks of acids were stored so close together that an accidental mixture could have formed a toxic cloud, Deputy Dist.","Cyanide was also dumped into the Los Angeles sewer system at the All - American Plating Corp. in the 7100 block of Vineland Avenue , while open and unlabeled tanks of acids were stored so close together that an accidental mixture could have formed a toxic cloud , Deputy Dist .",,
56.0,TAC2011~!~D1121-B-BCDG~!~22,Co-defendants Purnell Peace and Quanis Phillips scheduled plea agreements before Judge Henry Hudson.,Co - defendants Purnell Peace and Quanis Phillips scheduled plea agreements before Judge Henry Hudson .,,
57.0,DUC2005~!~d426a~!~LA030390-0076~!~351,"Leahan said any dog with good retrieval instincts and a good nose -- ""anything but those dogs with the smashed-up noses"" -- are candidates for narcotics dogs, though most police agencies concede there is a prejudice against smaller dogs that don't fit the public's perception of a police dog.","Leahan said any dog with good retrieval instincts and a good nose -- "" anything but those dogs with the smashed - up noses "" -- are candidates for narcotics dogs , though most police agencies concede there is a prejudice against smaller dogs that do n't fit the public 's perception of a police dog .",,
58.0,DUC2007~!~D0707~!~XIE20000203.0151~!~181,The European Union is extending 750 million U.S. dollars in loans to Turkey.,The European Union is extending 750 million U.S. dollars in loans to Turkey .,,
59.0,DUC2005~!~119.D683.M.250.J.7~!~15,"The Czech Republic, having been more industrialized, needs to restructure and develop its infrastructure, but is now free to pursue its own accelerated drive toward a free market society.","The Czech Republic , having been more industrialized , needs to restructure and develop its infrastructure , but is now free to pursue its own accelerated drive toward a free market society .",,
60.0,DUC2005~!~111.D422.M.250.C.10~!~6,"Two portraits, brought to Sotheby's for evaluation by a man who bought them at a market, were recovered using the Art Loss Register database.","Two portraits , brought to Sotheby 's for evaluation by a man who bought them at a market , were recovered using the Art Loss Register database .",,
61.0,TAC2008~!~D0807-B-ACFH~!~5~!~SCU,Patrick Fitzgerald is a Special Prosecutor aka Special Counsel aka Prosecutor,Patrick Fitzgerald is a Special Prosecutor aka Special Counsel aka Prosecutor,,
62.0,DUC2005~!~d366i~!~FT934-10056~!~256,Galactic used a technique known as cyanide heap leaching to recover gold from the ore it mined.,Galactic used a technique known as cyanide heap leaching to recover gold from the ore it mined .,,
63.0,DUC2007~!~D0701-AGHI~!~19,"He has used the civil lawsuit like a ""Buck Knife, carving financial assets out of hate group leaders"".","He has used the civil lawsuit like a "" Buck Knife , carving financial assets out of hate group leaders "" .",,
64.0,DUC2006~!~D0628a~!~NYT20000518.0153~!~623,"An estimated 2 million children in the United States have attention deficit hyperactivity disorder (ADHD), which is marked by symptoms that include inattention, distractibility and hyperactivity.","An estimated 2 million children in the United States have attention deficit hyperactivity disorder ( ADHD ) , which is marked by symptoms that include inattention , distractibility and hyperactivity .",,
65.0,TAC2008~!~D0814-A~!~APW_ENG_20041016.0172~!~87,"Nigeria's president meets Sunday with Libyan leader Moammar Gadhafi to prepare for upcoming talks on the conflict in Sudan's western Darfur region, said officials and diplomats.","Nigeria 's president meets Sunday with Libyan leader Moammar Gadhafi to prepare for upcoming talks on the conflict in Sudan 's western Darfur region , said officials and diplomats .",,
66.0,DUC2005~!~d426a2~!~LA120590-0046~!~1240,"A Miramar Naval Air Station entrance was closed and nearby homes were evacuated for more than an hour Tuesday when a military police dog signaled its handler that a civilian car contained explosives, a Navy spokesman said.","A Miramar Naval Air Station entrance was closed and nearby homes were evacuated for more than an hour Tuesday when a military police dog signaled its handler that a civilian car contained explosives , a Navy spokesman said .",,
67.0,TAC2011~!~D1108-A-ABCG~!~5,It is the worst storm in that area since 1991.  ,It is the worst storm in that area since 1991 .  ,,
68.0,DUC2007~!~D0718~!~NYT19990611.0297~!~300,"STARBUCKS-JOHNSON (Seattle) - Basketball legend Earvin ""Magic"" Johnson and Starbucks boss Howard Schultz brought their inner-city road show to Seattle's Columbia City neighborhood Fridya.","STARBUCKS - JOHNSON ( Seattle ) - Basketball legend Earvin "" Magic "" Johnson and Starbucks boss Howard Schultz brought their inner - city road show to Seattle 's Columbia City neighborhood Fridya .",,
69.0,DUC2006~!~D0627i~!~APW19981104.0589~!~38,"BEIJING (AP) - Chinese couples will find it easier and foreigners perhaps more difficult to adopt children under a revised adoption law approved by China's legislature Wednesday, state media reported.","BEIJING ( AP ) - Chinese couples will find it easier and foreigners perhaps more difficult to adopt children under a revised adoption law approved by China 's legislature Wednesday , state media reported .",,
70.0,DUC2006~!~D0630~!~44,"Independent booksellers have had great difficulty competing against the major chain stores, Barnes & Noble and Borders Books and online giant, Amazon.","Independent booksellers have had great difficulty competing against the major chain stores , Barnes & Noble and Borders Books and online giant , Amazon .",,
71.0,TAC2011~!~D1128-B-BDEF~!~24,Former Liberian president Charles Taylor will be the first African head of state to go on trial for war crimes before an international tribunal - a special chamber of the UN-backed Special Court for Sierra Leone.,Former Liberian president Charles Taylor will be the first African head of state to go on trial for war crimes before an international tribunal - a special chamber of the UN - backed Special Court for Sierra Leone .,,
72.0,TAC2011~!~D1139-B-CDFG~!~11,"The Sirius Star was seized in a 16-minute attack by pirates in two speedboats, armed with rifles and rocket-launchers.  ","The Sirius Star was seized in a 16-minute attack by pirates in two speedboats , armed with rifles and rocket - launchers .  ",,
73.0,DUC2005~!~105.D376.M.250.E.3~!~124,"These include USSR embargos against Lithuania and US support of the Contras, including mining Nicaraguan harbors.","These include USSR embargos against Lithuania and US support of the Contras , including mining Nicaraguan harbors .",,
74.0,TAC2011~!~D1107-B-BCEF~!~23,China claims their food is safe and vows to work with the world on improving food safety.  ,China claims their food is safe and vows to work with the world on improving food safety .  ,,
75.0,TAC2008~!~D0847-B~!~APW_ENG_20050405.0009~!~11,But Akayev drew international criticism for abuses in elections and began to take a tougher line with opponents.,But Akayev drew international criticism for abuses in elections and began to take a tougher line with opponents .,,
76.0,DUC2007~!~D0728-AGHI~!~51,"Interferon may produce flu-like side effects like fever and lethargy, and perhaps depression.","Interferon may produce flu - like side effects like fever and lethargy , and perhaps depression .",,
77.0,TAC2008~!~D0832-B~!~APW_ENG_20060219.0485~!~194,"Cunningham, 64, resigned from Congress in November after pleading guilty to accepting $2.4 million in bribes _ including a Rolls-Royce, yachts, homes and antique furnishings _ in exchange for defense contracts and other favors.","Cunningham , 64 , resigned from Congress in November after pleading guilty to accepting $ 2.4 million in bribes _ including a Rolls - Royce , yachts , homes and antique furnishings _ in exchange for defense contracts and other favors .",,
78.0,DUC2005~!~d324e~!~FT921-6603~!~35,"If oil is found in commercial quantities around the islands, co-operation with Argentina would be essential to develop the reserves.","If oil is found in commercial quantities around the islands , co - operation with Argentina would be essential to develop the reserves .",,
79.0,DUC2006~!~D0620~!~49,"These preventive measures included posting armed security officers in schools; using metal detectors and surveillance cameras, conducting searches for weapons in schools; tightening access to campuses and improving screening for school visitors; locking most school entrances during the school day; installing a hot line and tip box for reporting incidents that might lead to violence; expelling students who bring a gun to school; requiring school uniforms; making it harder to conceal a weapon by requiring transparent book bags and forbidding baggy clothing.","These preventive measures included posting armed security officers in schools ; using metal detectors and surveillance cameras , conducting searches for weapons in schools ; tightening access to campuses and improving screening for school visitors ; locking most school entrances during the school day ; installing a hot line and tip box for reporting incidents that might lead to violence ; expelling students who bring a gun to school ; requiring school uniforms ; making it harder to conceal a weapon by requiring transparent book bags and forbidding baggy clothing .",,
80.0,DUC2005~!~116.D633.M.250.G.13~!~119,The Liberal-Democratic party leaders in 1992 believed there was popular support for devolution and in 1994 minister Paddy Ashdown said he possibly would support the assembly.,The Liberal - Democratic party leaders in 1992 believed there was popular support for devolution and in 1994 minister Paddy Ashdown said he possibly would support the assembly .,,
81.0,DUC2005~!~d324e3~!~FT931-16617~!~147,"However, Mr Hurd has warned that attempts to use squid licences as 'political toys' could threaten wider bilateral relations.","However , Mr Hurd has warned that attempts to use squid licences as ' political toys ' could threaten wider bilateral relations .",,
82.0,DUC2005~!~d400b~!~LA121489-0128~!~1000,"""The government is giving incentives to get people roaring off into the jungle to avoid having to solve the problems in the sierra (mountains), where they originate,"" he said.",""" The government is giving incentives to get people roaring off into the jungle to avoid having to solve the problems in the sierra ( mountains ) , where they originate , "" he said .",,
83.0,DUC2005~!~103.D345.M.250.J.7~!~11,Argentina and Brazil are also major markets.,Argentina and Brazil are also major markets .,,
84.0,DUC2006~!~D0627~!~34,Russia has replaced China as the nation providing most children for adoption in the US and those two countries have been amending their laws to prevent abuses in adoptions.,Russia has replaced China as the nation providing most children for adoption in the US and those two countries have been amending their laws to prevent abuses in adoptions .,,
85.0,DUC2005~!~115.D632.M.250.I.7~!~3,Tin mining in south-east Asia has been steadily declining because of rising production costs and record low tin prices.,Tin mining in south - east Asia has been steadily declining because of rising production costs and record low tin prices .,,
86.0,DUC2005~!~d426a2~!~LA081390-0047~!~900,"No other county in California uses dogs to assist jailers, but San Diego's experiment with the animals might lead others to try them as well, Nichols said.","No other county in California uses dogs to assist jailers , but San Diego 's experiment with the animals might lead others to try them as well , Nichols said .",,
87.0,DUC2006~!~D0650~!~11,It has been aided by a Lions Club grant and medicines donated by Merck and Pfizer.,It has been aided by a Lions Club grant and medicines donated by Merck and Pfizer .,,
88.0,DUC2005~!~d311i~!~FT933-8358~!~695,"Mid-April, Wiesbaden: Witnesses allegedly hear and see documents being shredded all night long by Jorge Alvarez Aguirre and Rosario Piazza, two ex-Opel men who had followed their leader to VW.","Mid - April , Wiesbaden : Witnesses allegedly hear and see documents being shredded all night long by Jorge Alvarez Aguirre and Rosario Piazza , two ex - Opel men who had followed their leader to VW .",,
89.0,DUC2005~!~d400b2~!~FT924-4583~!~194,"First, companies source raw materials from ecologically threatened areas around the globe to promote the use of sustainable resources which provide indigenous peoples with foreign capital.","First , companies source raw materials from ecologically threatened areas around the globe to promote the use of sustainable resources which provide indigenous peoples with foreign capital .",,
90.0,TAC2011~!~D1121-A-BCDG~!~13~!~SCU,Animal rights groups protest,Animal rights groups protest,,
91.0,DUC2007~!~D0718-ABDF~!~56,"The company established joint distribution, marketing and sales arrangements with Pepsi Cola (for Starbucks Frappuccino), Kraft Foods (for coffee beans) and Drayer's Grand Ice Cream (for Starbucks ice cream.).","The company established joint distribution , marketing and sales arrangements with Pepsi Cola ( for Starbucks Frappuccino ) , Kraft Foods ( for coffee beans ) and Drayer 's Grand Ice Cream ( for Starbucks ice cream . ) .",,
92.0,DUC2006~!~D0640d~!~NYT20000815.0258~!~244,A first attempt by the Russian navy to dock a rescue capsule to the sunken submarine failed in the heavy storms with 12-foot waves lashing the Barents Sea near Norway.,A first attempt by the Russian navy to dock a rescue capsule to the sunken submarine failed in the heavy storms with 12-foot waves lashing the Barents Sea near Norway .,,
93.0,TAC2011~!~D1117-B-BCFH~!~19,"Army Secretary Francis Harvey, who dismissed Walter Reed commander General George Weightman the previous Thursday, has resigned himself.   ","Army Secretary Francis Harvey , who dismissed Walter Reed commander General George Weightman the previous Thursday , has resigned himself .   ",,
94.0,TAC2008~!~D0842-A-AFGH~!~12,"Gazprom, the state-controlled Russian gas group and the German company BASF plan a Baltic Sea pipeline to transport Russian gas directly to Europe.","Gazprom , the state - controlled Russian gas group and the German company BASF plan a Baltic Sea pipeline to transport Russian gas directly to Europe .",,
95.0,TAC2011~!~D1108-A-ABCG~!~19,Officials described it as the worst storm in years.  ,Officials described it as the worst storm in years .  ,,
96.0,DUC2007~!~D0742~!~NYT19990717.0197~!~136,"The last radar signal from Kennedy's plane was received at 9:38 p.m., as the plane made its approach into Martha's Vineyard.","The last radar signal from Kennedy 's plane was received at 9:38 p.m. , as the plane made its approach into Martha 's Vineyard .",,
97.0,TAC2011~!~D1104-A-ABDH~!~14~!~SCU,provides its products to 17 of the top 20 North American retailers,provides its products to 17 of the top 20 North American retailers,,
98.0,TAC2008~!~D0811-A-ABFG~!~15,"On Sept. 10, Brown announced that UB313, which he considers a planet and has nicknamed Xena, has a moon.","On Sept. 10 , Brown announced that UB313 , which he considers a planet and has nicknamed Xena , has a moon .",,
