qa_uuid,qasrl_id,tokens,verb,question,answer,answer_range,verb_idx
2010~!~D1007-B-ABEH~!~65~!~0~!~1~!~found~!~36,2010~!~D1007-B-ABEH~!~65~!~0,"['H5N1', 'found', 'at', 'a', 'local', 'chicken', 'farm', 'and', 'sudden', 'chicken', 'deaths', 'in', 'a', 'market', 'led', 'to', 'the', 'mass', 'slaughter', 'of', 'all', 'chickens', 'in', 'Hong', 'Kong', ',', 'followed', 'by', 'a', 'thorough', 'cleansing', 'exercise', 'at', 'meat', 'stalls', ',', 'health', 'checks', 'for', 'poultry', 'workers', ',', 'and', 'augmentation', 'of', 'out', '-', 'patient', 'services', '.']",found,What was founded?,H5N1,0:0,1
2010~!~D1007-B-ABEH~!~65~!~0~!~1~!~found~!~37,2010~!~D1007-B-ABEH~!~65~!~0,"['H5N1', 'found', 'at', 'a', 'local', 'chicken', 'farm', 'and', 'sudden', 'chicken', 'deaths', 'in', 'a', 'market', 'led', 'to', 'the', 'mass', 'slaughter', 'of', 'all', 'chickens', 'in', 'Hong', 'Kong', ',', 'followed', 'by', 'a', 'thorough', 'cleansing', 'exercise', 'at', 'meat', 'stalls', ',', 'health', 'checks', 'for', 'poultry', 'workers', ',', 'and', 'augmentation', 'of', 'out', '-', 'patient', 'services', '.']",found,Where was something founded?,at a local chicken farm,2:6,1
2010~!~D1007-B-ABEH~!~65~!~0~!~14~!~led~!~38,2010~!~D1007-B-ABEH~!~65~!~0,"['H5N1', 'found', 'at', 'a', 'local', 'chicken', 'farm', 'and', 'sudden', 'chicken', 'deaths', 'in', 'a', 'market', 'led', 'to', 'the', 'mass', 'slaughter', 'of', 'all', 'chickens', 'in', 'Hong', 'Kong', ',', 'followed', 'by', 'a', 'thorough', 'cleansing', 'exercise', 'at', 'meat', 'stalls', ',', 'health', 'checks', 'for', 'poultry', 'workers', ',', 'and', 'augmentation', 'of', 'out', '-', 'patient', 'services', '.']",led,What led to something?,sudden chicken deaths in a market,8:13,14
2010~!~D1007-B-ABEH~!~65~!~0~!~14~!~led~!~39,2010~!~D1007-B-ABEH~!~65~!~0,"['H5N1', 'found', 'at', 'a', 'local', 'chicken', 'farm', 'and', 'sudden', 'chicken', 'deaths', 'in', 'a', 'market', 'led', 'to', 'the', 'mass', 'slaughter', 'of', 'all', 'chickens', 'in', 'Hong', 'Kong', ',', 'followed', 'by', 'a', 'thorough', 'cleansing', 'exercise', 'at', 'meat', 'stalls', ',', 'health', 'checks', 'for', 'poultry', 'workers', ',', 'and', 'augmentation', 'of', 'out', '-', 'patient', 'services', '.']",led,What did something lead to?,the mass slaughter of all chickens,16:21,14
2010~!~D1007-B-ABEH~!~65~!~0~!~26~!~followed~!~40,2010~!~D1007-B-ABEH~!~65~!~0,"['H5N1', 'found', 'at', 'a', 'local', 'chicken', 'farm', 'and', 'sudden', 'chicken', 'deaths', 'in', 'a', 'market', 'led', 'to', 'the', 'mass', 'slaughter', 'of', 'all', 'chickens', 'in', 'Hong', 'Kong', ',', 'followed', 'by', 'a', 'thorough', 'cleansing', 'exercise', 'at', 'meat', 'stalls', ',', 'health', 'checks', 'for', 'poultry', 'workers', ',', 'and', 'augmentation', 'of', 'out', '-', 'patient', 'services', '.']",followed,What is something followed by?,"a thorough cleansing exercise at meat stalls , health checks for poultry workers , and augmentation of out - patient services",28:48,26
2010~!~D1014-B-CEGH~!~180~!~0~!~2~!~increasing~!~41,2010~!~D1014-B-CEGH~!~180~!~0,"['Obesity', 'is', 'increasing', 'throughout', 'the', 'world', 'because', 'of', 'Western', '-', 'style', 'diets', 'and', 'less', 'physical', 'activity', '.']",increasing,What is increasing?,Obesity,0:0,2
2010~!~D1014-B-CEGH~!~180~!~0~!~2~!~increasing~!~42,2010~!~D1014-B-CEGH~!~180~!~0,"['Obesity', 'is', 'increasing', 'throughout', 'the', 'world', 'because', 'of', 'Western', '-', 'style', 'diets', 'and', 'less', 'physical', 'activity', '.']",increasing,Where is something increasing?,throughout the world,3:5,2
2010~!~D1014-B-CEGH~!~180~!~0~!~2~!~increasing~!~43,2010~!~D1014-B-CEGH~!~180~!~0,"['Obesity', 'is', 'increasing', 'throughout', 'the', 'world', 'because', 'of', 'Western', '-', 'style', 'diets', 'and', 'less', 'physical', 'activity', '.']",increasing,Why is something increasing somewhere?,because of Western - style diets and less physical activity,6:15,2
2010~!~D1014-B-CEGH~!~180~!~1~!~11~!~compared~!~44,2010~!~D1014-B-CEGH~!~180~!~1,"['In', '1997', 'about', '33', '%', 'of', 'the', 'U.S.', 'population', 'is', 'overweight', 'compared', 'to', '25', '%', 'in', 'the', '1960', ""'s"", '.']",compared,When is something compared to something?,In 1997,0:1,11
2010~!~D1014-B-CEGH~!~180~!~1~!~11~!~compared~!~45,2010~!~D1014-B-CEGH~!~180~!~1,"['In', '1997', 'about', '33', '%', 'of', 'the', 'U.S.', 'population', 'is', 'overweight', 'compared', 'to', '25', '%', 'in', 'the', '1960', ""'s"", '.']",compared,What is something compared to?,25 %,13:14,11
2010~!~D1014-B-CEGH~!~180~!~1~!~11~!~compared~!~46,2010~!~D1014-B-CEGH~!~180~!~1,"['In', '1997', 'about', '33', '%', 'of', 'the', 'U.S.', 'population', 'is', 'overweight', 'compared', 'to', '25', '%', 'in', 'the', '1960', ""'s"", '.']",compared,When is someone compared to something?,in the 1960 's,15:18,11
2010~!~D1014-B-CEGH~!~184~!~0~!~12~!~prevents~!~47,2010~!~D1014-B-CEGH~!~184~!~0,"['Obesity', 'can', 'cause', 'skeletal', 'problems', 'and', 'some', 'forms', 'of', 'cancer', ',', 'and', 'prevents', 'Japanese', 'police', 'from', 'doing', 'their', 'job', '.']",prevents,What prevents something?,Obesity,0:0,12
2010~!~D1014-B-CEGH~!~184~!~0~!~12~!~prevents~!~48,2010~!~D1014-B-CEGH~!~184~!~0,"['Obesity', 'can', 'cause', 'skeletal', 'problems', 'and', 'some', 'forms', 'of', 'cancer', ',', 'and', 'prevents', 'Japanese', 'police', 'from', 'doing', 'their', 'job', '.']",prevents,Who does something prevent?,Japanese police,13:14,12
2010~!~D1014-B-CEGH~!~184~!~0~!~12~!~prevents~!~49,2010~!~D1014-B-CEGH~!~184~!~0,"['Obesity', 'can', 'cause', 'skeletal', 'problems', 'and', 'some', 'forms', 'of', 'cancer', ',', 'and', 'prevents', 'Japanese', 'police', 'from', 'doing', 'their', 'job', '.']",prevents,What does something prevent?,Japanese police from doing their job,13:18,12
2010~!~D1014-B-CEGH~!~184~!~0~!~12~!~prevents~!~50,2010~!~D1014-B-CEGH~!~184~!~0,"['Obesity', 'can', 'cause', 'skeletal', 'problems', 'and', 'some', 'forms', 'of', 'cancer', ',', 'and', 'prevents', 'Japanese', 'police', 'from', 'doing', 'their', 'job', '.']",prevents,What does something prevent someone from doing?,doing their job,16:18,12
2010~!~D1014-B-CEGH~!~189~!~1~!~17~!~leading~!~51,2010~!~D1014-B-CEGH~!~189~!~1,"['About', '33', '-', '50', '%', 'of', 'the', 'U.S.', 'population', 'is', 'overweight', 'and', 'obesity', 'is', 'the', 'second', '-', 'leading', 'cause', 'of', 'preventable', 'death', ',', 'causing', 'an', 'increase', 'in', 'diseases', 'that', 'were', 'heretofore', 'on', 'the', 'decline', '.']",leading,What leads something?,obesity,12:12,17
2010~!~D1014-B-CEGH~!~189~!~1~!~17~!~leading~!~52,2010~!~D1014-B-CEGH~!~189~!~1,"['About', '33', '-', '50', '%', 'of', 'the', 'U.S.', 'population', 'is', 'overweight', 'and', 'obesity', 'is', 'the', 'second', '-', 'leading', 'cause', 'of', 'preventable', 'death', ',', 'causing', 'an', 'increase', 'in', 'diseases', 'that', 'were', 'heretofore', 'on', 'the', 'decline', '.']",leading,What is being led?,cause of preventable death,18:21,17
2010~!~D1014-B-CEGH~!~189~!~1~!~23~!~causing~!~53,2010~!~D1014-B-CEGH~!~189~!~1,"['About', '33', '-', '50', '%', 'of', 'the', 'U.S.', 'population', 'is', 'overweight', 'and', 'obesity', 'is', 'the', 'second', '-', 'leading', 'cause', 'of', 'preventable', 'death', ',', 'causing', 'an', 'increase', 'in', 'diseases', 'that', 'were', 'heretofore', 'on', 'the', 'decline', '.']",causing,What is being caused?,an increase in diseases,24:27,23
2010~!~D1014-B-CEGH~!~189~!~1~!~30~!~heretofore~!~54,2010~!~D1014-B-CEGH~!~189~!~1,"['About', '33', '-', '50', '%', 'of', 'the', 'U.S.', 'population', 'is', 'overweight', 'and', 'obesity', 'is', 'the', 'second', '-', 'leading', 'cause', 'of', 'preventable', 'death', ',', 'causing', 'an', 'increase', 'in', 'diseases', 'that', 'were', 'heretofore', 'on', 'the', 'decline', '.']",heretofore,What was heretofore?,an increase in diseases,24:27,30
2010~!~D1014-B-CEGH~!~189~!~1~!~30~!~heretofore~!~55,2010~!~D1014-B-CEGH~!~189~!~1,"['About', '33', '-', '50', '%', 'of', 'the', 'U.S.', 'population', 'is', 'overweight', 'and', 'obesity', 'is', 'the', 'second', '-', 'leading', 'cause', 'of', 'preventable', 'death', ',', 'causing', 'an', 'increase', 'in', 'diseases', 'that', 'were', 'heretofore', 'on', 'the', 'decline', '.']",heretofore,Where was something heretofore?,on the decline,31:33,30
2010~!~D1014-B-CEGH~!~189~!~1~!~30~!~heretofore~!~56,2010~!~D1014-B-CEGH~!~189~!~1,"['About', '33', '-', '50', '%', 'of', 'the', 'U.S.', 'population', 'is', 'overweight', 'and', 'obesity', 'is', 'the', 'second', '-', 'leading', 'cause', 'of', 'preventable', 'death', ',', 'causing', 'an', 'increase', 'in', 'diseases', 'that', 'were', 'heretofore', 'on', 'the', 'decline', '.']",heretofore,What was something heretofore on?,the decline,32:33,30
2010~!~D1014-B-CEGH~!~185~!~0~!~1~!~contributes~!~57,2010~!~D1014-B-CEGH~!~185~!~0,"['Obesity', 'contributes', 'to', 'over', '300,000', 'excess', 'deaths', 'each', 'year', 'and', 'is', ',', 'after', 'smoking', ',', 'the', 'second', 'leading', 'cause', 'of', 'preventable', 'deaths', 'in', 'the', 'U.S.', 'To', 'fight', 'obesity', 'it', 'must', 'be', 'recognized', 'as', 'the', 'serious', 'public', 'health', 'problem', 'that', 'it', 'is', '.']",contributes,What contributes to something?,Obesity,0:0,1
2010~!~D1014-B-CEGH~!~185~!~0~!~1~!~contributes~!~58,2010~!~D1014-B-CEGH~!~185~!~0,"['Obesity', 'contributes', 'to', 'over', '300,000', 'excess', 'deaths', 'each', 'year', 'and', 'is', ',', 'after', 'smoking', ',', 'the', 'second', 'leading', 'cause', 'of', 'preventable', 'deaths', 'in', 'the', 'U.S.', 'To', 'fight', 'obesity', 'it', 'must', 'be', 'recognized', 'as', 'the', 'serious', 'public', 'health', 'problem', 'that', 'it', 'is', '.']",contributes,What does something contribute to?,"over 300,000 excess deaths",3:6,1
2010~!~D1014-B-CEGH~!~185~!~0~!~1~!~contributes~!~59,2010~!~D1014-B-CEGH~!~185~!~0,"['Obesity', 'contributes', 'to', 'over', '300,000', 'excess', 'deaths', 'each', 'year', 'and', 'is', ',', 'after', 'smoking', ',', 'the', 'second', 'leading', 'cause', 'of', 'preventable', 'deaths', 'in', 'the', 'U.S.', 'To', 'fight', 'obesity', 'it', 'must', 'be', 'recognized', 'as', 'the', 'serious', 'public', 'health', 'problem', 'that', 'it', 'is', '.']",contributes,When does something contribute to something?,each year,7:8,1
2010~!~D1014-B-CEGH~!~185~!~0~!~17~!~leading~!~60,2010~!~D1014-B-CEGH~!~185~!~0,"['Obesity', 'contributes', 'to', 'over', '300,000', 'excess', 'deaths', 'each', 'year', 'and', 'is', ',', 'after', 'smoking', ',', 'the', 'second', 'leading', 'cause', 'of', 'preventable', 'deaths', 'in', 'the', 'U.S.', 'To', 'fight', 'obesity', 'it', 'must', 'be', 'recognized', 'as', 'the', 'serious', 'public', 'health', 'problem', 'that', 'it', 'is', '.']",leading,What is leading something?,smoking,13:13,17
2010~!~D1014-B-CEGH~!~185~!~0~!~17~!~leading~!~61,2010~!~D1014-B-CEGH~!~185~!~0,"['Obesity', 'contributes', 'to', 'over', '300,000', 'excess', 'deaths', 'each', 'year', 'and', 'is', ',', 'after', 'smoking', ',', 'the', 'second', 'leading', 'cause', 'of', 'preventable', 'deaths', 'in', 'the', 'U.S.', 'To', 'fight', 'obesity', 'it', 'must', 'be', 'recognized', 'as', 'the', 'serious', 'public', 'health', 'problem', 'that', 'it', 'is', '.']",leading,What is leading?,cause,18:18,17
2010~!~D1014-B-CEGH~!~185~!~0~!~17~!~leading~!~62,2010~!~D1014-B-CEGH~!~185~!~0,"['Obesity', 'contributes', 'to', 'over', '300,000', 'excess', 'deaths', 'each', 'year', 'and', 'is', ',', 'after', 'smoking', ',', 'the', 'second', 'leading', 'cause', 'of', 'preventable', 'deaths', 'in', 'the', 'U.S.', 'To', 'fight', 'obesity', 'it', 'must', 'be', 'recognized', 'as', 'the', 'serious', 'public', 'health', 'problem', 'that', 'it', 'is', '.']",leading,Where is something leading something?,in the U.S.,22:24,17
2010~!~D1014-B-CEGH~!~185~!~0~!~17~!~leading~!~63,2010~!~D1014-B-CEGH~!~185~!~0,"['Obesity', 'contributes', 'to', 'over', '300,000', 'excess', 'deaths', 'each', 'year', 'and', 'is', ',', 'after', 'smoking', ',', 'the', 'second', 'leading', 'cause', 'of', 'preventable', 'deaths', 'in', 'the', 'U.S.', 'To', 'fight', 'obesity', 'it', 'must', 'be', 'recognized', 'as', 'the', 'serious', 'public', 'health', 'problem', 'that', 'it', 'is', '.']",leading,Why is something leading something?,To fight obesity,25:27,17
2010~!~D1014-B-CEGH~!~185~!~0~!~26~!~fight~!~64,2010~!~D1014-B-CEGH~!~185~!~0,"['Obesity', 'contributes', 'to', 'over', '300,000', 'excess', 'deaths', 'each', 'year', 'and', 'is', ',', 'after', 'smoking', ',', 'the', 'second', 'leading', 'cause', 'of', 'preventable', 'deaths', 'in', 'the', 'U.S.', 'To', 'fight', 'obesity', 'it', 'must', 'be', 'recognized', 'as', 'the', 'serious', 'public', 'health', 'problem', 'that', 'it', 'is', '.']",fight,What is being fought?,obesity,27:27,26
2010~!~D1014-B-CEGH~!~185~!~0~!~31~!~recognized~!~65,2010~!~D1014-B-CEGH~!~185~!~0,"['Obesity', 'contributes', 'to', 'over', '300,000', 'excess', 'deaths', 'each', 'year', 'and', 'is', ',', 'after', 'smoking', ',', 'the', 'second', 'leading', 'cause', 'of', 'preventable', 'deaths', 'in', 'the', 'U.S.', 'To', 'fight', 'obesity', 'it', 'must', 'be', 'recognized', 'as', 'the', 'serious', 'public', 'health', 'problem', 'that', 'it', 'is', '.']",recognized,What is be recognized?,fight obesity,26:27,31
